0,25011
1,55939
2,42528
3,43796
4,10829
5,2800
6,2832
7,1099
8,2995
9,1036
10,2353
11,1007
12,2064
13,1574
14,2640
15,1499
16,1312
17,1032
18,2815
19,2050
20,2865
21,1185
22,1560
23,1568
24,2285
25,9615
26,1058
27,932
28,1862
29,884
30,1809
31,1131
32,1907
33,1346
34,3213
35,1928
36,1878
37,1412
38,1951
39,1104
40,1926
41,860
42,2108
43,1153
44,2030
45,2137
46,2523
47,1525
48,1911
49,1881
50,8985
51,1261
52,982
53,1262
54,1058
55,1420
56,1555
57,1076
58,2633
59,1898
60,1816
61,1221
62,2050
63,1128
64,1872
65,884
66,1984
67,1109
68,1923
69,1387
70,1907
71,1229
72,2737
73,1498
74,1772
75,8582
76,2490
77,1063
78,1792
79,1308
80,1428
81,1158
82,1328
83,907
84,1084
85,853
86,957
87,1138
88,875
89,1224
90,852
91,1278
92,1091
93,1006
94,953
95,1225
96,1572
97,3646
98,3016
99,2018
100,8461
101,1195
102,1243
103,1311
104,2170
105,1635
106,1501
107,1002
108,2255
109,2022
110,1512
111,1329
112,1729
113,923
114,1719
115,1276
116,1869
117,1351
118,2595
119,1047
120,1662
121,874
122,1758
123,1023
124,2772
125,9983
126,1260
127,675
128,1704
129,951
130,1797
131,674
132,2487
133,1290
134,1855
135,1645
136,2451
137,1886
138,1247
139,1204
140,1262
141,1025
142,897
143,1332
144,1028
145,1293
146,959
147,1420
148,1142
149,1154
150,11786
151,983
152,1524
153,1016
154,2225
155,1473
156,1567
157,1279
